UID	Audio_path	SpeechCorpus	SNR (dB)	fs (Hz)	Text
[URGENT24]fileid_16	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_16.flac	cv11	-3.565	24000	The white wings show a black rear border in flight.
[URGENT24]fileid_17	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_17.flac	cv11	13.814	24000	The term is commonly used on social media platforms such as Twitter.
[URGENT24]fileid_18	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_18.flac	cv11	18.478	24000	The Plochingen train station has six tracks in the halls.
[URGENT24]fileid_19	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_19.flac	cv11	-2.229	24000	Ritchie came from a long-prominent family in Nova Scotia.
[URGENT24]fileid_20	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_20.flac	cv11	3.332	24000	My calendar was full that month.
[URGENT24]fileid_21	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_21.flac	cv11	3.194	24000	The Kerslakes owned much of the surrounding land as well as the manor house.
[URGENT24]fileid_22	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_22.flac	cv11	4.544	24000	He suffered from dyslexia throughout his life.
[URGENT24]fileid_23	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_23.flac	cv11	17.319	24000	It is a type of Call Center.
[URGENT24]fileid_24	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_24.flac	libritts	-4.075	24000	"But it is not with a view to distinction that you should cultivate this talent, if you consult your own happiness.
[URGENT24]fileid_25	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_25.flac	libritts	-4.332	24000	I then had a standard made to hold another oil cup, so as to see and regulate the drop feed.
[URGENT24]fileid_26	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_26.flac	libritts	1.927	24000	The Sunbury generating plant consisted of an Armington and Sims engine driving two small Edison dynamos having a total capacity of about four hundred lamps of sixteen c.p.
[URGENT24]fileid_27	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_27.flac	libritts	-0.845	24000	Look yonder, do you not see the moon slowly rising, silvering the topmost branches of the chestnuts and the oaks.
[URGENT24]fileid_28	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_28.flac	libritts	5.619	24000	De Guiche, observing that she was alone, near a thicket constructed of painted cloth, approached her.
[URGENT24]fileid_29	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_29.flac	libritts	8.354	24000	Suddenly, for the purpose of restoring peace and order, Spring, accompanied by his whole court, made his appearance.
[URGENT24]fileid_30	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_30.flac	libritts	4.456	24000	The music, hautboys, flutes, and viols, was delightfully descriptive of rural delights.
[URGENT24]fileid_31	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_31.flac	libritts	-1.647	24000	He was dressed in a tunic of flowers, which set off his graceful and well formed figure to advantage.
[URGENT24]fileid_32	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_32.flac	libritts	0.549	24000	"Well, sire, the colored lamps, the fireworks, the musicians, and the cooks, have swallowed up four millions in eight days."
[URGENT24]fileid_33	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_33.flac	libritts	11.298	24000	He has given them with too much grace not to have others still to give, if they are required, which is the case at the present moment.
[URGENT24]fileid_34	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_34.flac	libritts	2.478	24000	"So little is that the case, sire, that if your majesty will look to the right, you will see that the comte is in waiting."
[URGENT24]fileid_35	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_35.flac	libritts	-0.667	24000	"I reserve your services for a better occasion; and believe me, they will only be the better appreciated."
[URGENT24]fileid_36	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_36.flac	libritts	12.435	24000	"Nothing whatever," replied the courtier, as pale as death; "but your majesty has not thought of Fruits."
[URGENT24]fileid_37	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_37.flac	libritts	14.090	24000	So that however wasteful a given expenditure may be in reality, it must at least have some colorable excuse in the way of an ostensible purpose.
[URGENT24]fileid_38	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_38.flac	libritts	-0.648	24000	As seen from the point of view of the individual consumer, the question of wastefulness does not arise within the scope of economic theory proper.
[URGENT24]fileid_39	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_39.flac	libritts	15.525	24000	But the middle class wife still carries on the business of vicarious leisure, for the good name of the household and its master.
[URGENT24]fileid_40	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_40.flac	libritts	-1.232	24000	The standard of decency is higher, class for class, and this requirement of decent appearance must be lived up to on pain of losing caste.
[URGENT24]fileid_41	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_41.flac	libritts	11.362	24000	There goes into these domestic duties much solicitude for a proper combination of form and color, and for other ends that are to be classed as aesthetic in the proper sense of the term; and it is not denied that effects having some substantial aesthetic value are sometimes attained.
[URGENT24]fileid_42	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_42.flac	libritts	16.974	24000	Through force of circumstances it has fallen into disuse.
[URGENT24]fileid_43	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_43.flac	libritts	13.796	24000	The last items of this category of consumption are not given up except under stress of the direst necessity.
[URGENT24]fileid_44	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_44.flac	libritts	0.401	24000	This is especially true during the later, peaceable economic stage.
[URGENT24]fileid_45	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_45.flac	libritts	2.205	24000	It is an adaption to a new end, by a selective process, of a distinction previously existing and well established in men's habits of thought.
[URGENT24]fileid_46	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_46.flac	libritts	19.033	24000	The wearing of uniforms or liveries implies a considerable degree of dependence, and may even be said to be a mark of servitude, real or ostensible.
[URGENT24]fileid_47	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_47.flac	libritts	13.397	24000	At the inception of plural marriage among the Latter day Saints, there was no law, national or state, against its practise.
[URGENT24]fileid_48	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_48.flac	libritts	5.145	24000	And the world is learning, to its manifest surprise, that plural marriage and "Mormonism" are not synonymous terms.
[URGENT24]fileid_49	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_49.flac	libritts	0.745	24000	Its creed provides for the protection of all men in their rights of worship according to the dictates of conscience.
[URGENT24]fileid_50	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_50.flac	libritts	3.465	24000	Was it the "Mormons?" Is it not notorious on the contrary that they were hunted like wild beasts from county to county before they made any resistance?
[URGENT24]fileid_51	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_51.flac	libritts	1.142	24000	She tried this morning an air or two upon the piano, sang a simple song in a sweet but slightly metallic voice, and then seating herself by the open window, read Philip's letter.
[URGENT24]fileid_52	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_52.flac	libritts	2.941	24000	Think of the stone shingles of the roof eight inches thick!
[URGENT24]fileid_53	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_53.flac	vctk	18.848	48000	The trial is funded solely by Edinburgh City Council.
[URGENT24]fileid_54	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_54.flac	libritts	15.650	24000	That evening ruth and her father sat late by the drawing room fire, as they were quite apt to do at night.
[URGENT24]fileid_55	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_55.flac	vctk	13.903	48000	Customers for the panels include the National Trust for Scotland.
[URGENT24]fileid_56	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_56.flac	libritts	19.963	24000	A slight frail girl like thee, study medicine! Does thee think thee could stand it six months?
[URGENT24]fileid_57	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_57.flac	libritts	11.038	24000	You can begin by carrying a rod, and putting down the figures.
[URGENT24]fileid_58	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_58.flac	libritts	-0.233	24000	His pen therefore, and whereas, and not as aforesaid, strayed off into other scribbling.
[URGENT24]fileid_59	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_59.flac	libritts	4.650	24000	"I think I should like it of all things," replied Philip, with some hesitation, "but what for."
[URGENT24]fileid_60	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_60.flac	libritts	-1.852	24000	He continued his pretended search and, to give color to his errand, made two arrests.
[URGENT24]fileid_61	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_61.flac	libritts	1.819	24000	With such a radical opposition of sentiment, both factions were on the alert to seize every available vantage ground.
[URGENT24]fileid_62	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_62.flac	libritts	12.768	24000	The people of Lawrence, without any great difficulty, obtained daily information concerning the hostile camps.
[URGENT24]fileid_63	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_63.flac	libritts	14.405	24000	There were similar murmurs in the pro slavery camps.
[URGENT24]fileid_64	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_64.flac	libritts	10.419	24000	The marshal and his posse, including Sheriff Jones, went among other invited guests and enjoyed the proffered hospitality.
[URGENT24]fileid_65	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_65.flac	vctk	16.245	48000	He sees a difference in the style of the two teams.
[URGENT24]fileid_66	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_66.flac	libritts	19.712	24000	Though you should reduce me to atoms, from them would spring those opinions which would serve altogether to silence your artillery.
[URGENT24]fileid_67	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_67.flac	libritts	1.457	24000	Then we began to think of the hospitality of the island, and the officers of the john Bright were asked to dine with us on the following day.
[URGENT24]fileid_68	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_68.flac	libritts	10.869	24000	"Mr President," said he, "I am in command of her Majesty's gunboat, the john Bright, and I have come to pay my respects to the ladies."
[URGENT24]fileid_69	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_69.flac	libritts	13.278	24000	I thought for a little what answer it would best become me to give to this question, but I paused only for a moment or two.
[URGENT24]fileid_70	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_70.flac	libritts	15.332	24000	This was the first complimentary speech which Sir Ferdinando had made, and I must confess that it was efficacious.
[URGENT24]fileid_71	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_71.flac	libritts	9.386	24000	Then there were three or four leading men of the community, with their wives, who were for the most part the fathers and mothers of the young ladies.
[URGENT24]fileid_72	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_72.flac	libritts	2.184	24000	Jack had been standing in the far corner of the room talking to Eva, and was now reduced to silence by his praises.
[URGENT24]fileid_73	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_73.flac	libritts	-4.687	24000	At any rate, my eloquence was altogether stopped. The gentleman was named Sir Ferdinando Brown.
[URGENT24]fileid_74	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_74.flac	libritts	3.777	24000	This was a pretty little speech enough, and received the eager compliments of the officers of the john Bright.
[URGENT24]fileid_75	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_75.flac	libritts	1.767	24000	The john Bright is armed with a weapon of great power, against which it is impossible that the people of Britannula should prevail.
[URGENT24]fileid_76	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_76.flac	libritts	4.031	24000	Government that he shall be treated with all respect, and that those honours shall be paid to him which are due to the President of a friendly republic.
[URGENT24]fileid_77	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_77.flac	libritts	-3.305	24000	All this I could hardly explain to him, as I should thus be giving to him the strongest evidence against my own philosophy.
[URGENT24]fileid_78	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_78.flac	libritts	14.587	24000	I must by no means show in such company as was now present the strong feeling which pervaded my own mind.
[URGENT24]fileid_79	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_79.flac	libritts	13.528	24000	I was to be taken away and carried to England or elsewhere,--or drowned upon the voyage, it mattered not which.
[URGENT24]fileid_80	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_80.flac	libritts	16.667	24000	The country has since undoubtedly prospered, and in a material point of view has given us no grounds for regret.
[URGENT24]fileid_81	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_81.flac	libritts	17.436	24000	So the world was happy, and the face of the black belt green and luxuriant with thickening flecks of the coming foam of the cotton.
[URGENT24]fileid_82	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_82.flac	libritts	7.265	24000	Two kinds of motion were assigned to them-first, the revolution in the same and around the same, in peaceful unchanging thought of the same; and to this was added a forward motion which was under the control of the same.
[URGENT24]fileid_83	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_83.flac	libritts	5.800	24000	And God created them according to the patterns or species of them which existed in the divine original.
[URGENT24]fileid_84	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_84.flac	libritts	18.533	24000	The two divine courses were encased by the gods in a sphere which is called the head, and is the god and lord of us.
[URGENT24]fileid_85	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_85.flac	libritts	17.147	24000	The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.
[URGENT24]fileid_86	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_86.flac	libritts	-3.120	24000	He stooped to the evil of hypocrisy with others, sceptical of their innocence which he could cajole so easily.
[URGENT24]fileid_87	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_87.flac	libritts	-1.802	24000	He came of an old and illustrious Spanish family and you remember that he was one of the first followers of saint Ignatius.
[URGENT24]fileid_88	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_88.flac	libritts	11.146	24000	A moment before the ghost of the ancient kingdom of the Danes had looked forth through the vesture of the hazewrapped City.
[URGENT24]fileid_89	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_89.flac	libritts	-4.502	24000	He turned round to the fire, gave a kick to a log, watched it an instant.
[URGENT24]fileid_90	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_90.flac	libritts	12.472	24000	If the child gives the effect another turn of the screw, what do you say to TWO children-?"
[URGENT24]fileid_91	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_91.flac	libritts	9.558	24000	The first of these touches conveyed that the written statement took up the tale at a point after it had, in a manner, begun.
[URGENT24]fileid_92	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_92.flac	libritts	8.670	24000	He took no notice of her; he looked at me, but as if, instead of me, he saw what he spoke of.
[URGENT24]fileid_93	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_93.flac	libritts	1.267	24000	But that only made his little final auditory more compact and select, kept it, round the hearth, subject to a common thrill.
[URGENT24]fileid_94	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_94.flac	libritts	-1.422	24000	I could write to my man and enclose the key; he could send down the packet as he finds it." It was to me in particular that he appeared to propound this-appeared almost to appeal for aid not to hesitate.
[URGENT24]fileid_95	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_95.flac	libritts	4.491	24000	Then he became as communicative as we could desire and indeed gave us his best reason for being so.
[URGENT24]fileid_96	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_96.flac	libritts	7.447	24000	I can see Douglas there before the fire, to which he had got up to present his back, looking down at his interlocutor with his hands in his pockets.
[URGENT24]fileid_97	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_97.flac	libritts	5.087	24000	"I thought we were 'stumped' again when I first saw that picture, but it's been of some use, after all.
[URGENT24]fileid_98	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_98.flac	libritts	12.993	24000	"Perhaps that's so," admitted Joyce, thoughtfully.
[URGENT24]fileid_99	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_99.flac	libritts	16.484	24000	"Yes, you are right; but I do not think any danger is to be apprehended from Buckingham."
[URGENT24]fileid_100	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_100.flac	libritts	-3.031	24000	Lend me your ear for ten minutes, and you shall learn just what stagecraft is." And I should begin with a short homily on
[URGENT24]fileid_101	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_101.flac	libritts	1.647	24000	Now this answer, even if it comes quite fresh to the stalls, will lose much of its effect if it is said without the assistance of a cigarette.
[URGENT24]fileid_102	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_102.flac	libritts	15.986	24000	It was an unsatisfying life; and when rash acquaintances asked him what he did, he used to say that he was for the Bar.
[URGENT24]fileid_103	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_103.flac	libritts	17.284	24000	What you want is to make it clear that you are conveying Hamlet's thoughts to the audience in rather a clever manner.
[URGENT24]fileid_104	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_104.flac	libritts	11.244	24000	The cat growled softly, picked up the prize in her jaws and trotted into the bushes to devour it.
[URGENT24]fileid_105	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_105.flac	libritts	-0.014	24000	But suddenly, straight and swift as a diving cormorant, he shot down into the torrent and disappeared beneath the surface.
[URGENT24]fileid_106	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_106.flac	vctk	4.443	48000	My main concern is that public health is not put at risk.
[URGENT24]fileid_107	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_107.flac	libritts	5.335	24000	Once more he half emerged, filled his gasping lungs, and pounded onward desperately, half flying and half swimming.
[URGENT24]fileid_108	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_108.flac	libritts	15.619	24000	As it chanced, however, the victim came down with a thud almost beneath the whiskered nose of the wildcat.
[URGENT24]fileid_109	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_109.flac	libritts	15.126	24000	Moreover, he was not in the situation or the surroundings which one is wont to associate with ducks.
[URGENT24]fileid_110	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_110.flac	libritts	-4.227	24000	The duck was a handsome male of the red breasted merganser family, and the absorbing interest of his life was fish.
[URGENT24]fileid_111	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_111.flac	libritts	6.522	24000	Close ahead of him now the teal saw refuge-the flashing line of the rapids.
[URGENT24]fileid_112	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_112.flac	libritts	9.046	24000	He would have been drowned, the breath battered clean out of him, in half a minute more, had he maintained the hopelessly unequal struggle.
[URGENT24]fileid_113	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_113.flac	libritts	15.923	24000	A few yards further on, the torrent fell seething over a long ledge into a pool of brief quiet.
[URGENT24]fileid_114	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_114.flac	libritts	7.534	24000	His feet were red, his long narrow beak, with its saw toothed edges and sharp hooked tip, was bright red.
[URGENT24]fileid_115	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_115.flac	vctk	-2.449	48000	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
[URGENT24]fileid_116	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_116.flac	libritts	-1.000	24000	Not only this, but on the table I found a small ball of black dough or clay, with specks of something which looks like sawdust in it.
[URGENT24]fileid_117	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_117.flac	libritts	8.645	24000	I was measuring how tall a man would need to be in order to see, as he passed, what papers were on the central table.
[URGENT24]fileid_118	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_118.flac	libritts	3.337	24000	All were agreed that one could be ordered, but that it was not a usual size of pencil and that it was seldom kept in stock.
[URGENT24]fileid_119	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_119.flac	vctk	3.270	48000	We have an election in eight days.
[URGENT24]fileid_120	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_120.flac	libritts	5.780	24000	He was a fine figure of a man, tall, lithe, and agile, with a springy step and a pleasant, open face.
[URGENT24]fileid_121	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_121.flac	libritts	5.990	24000	On the other hand, it seemed an unthinkable coincidence that a man should dare to enter the room, and that by chance on that very day the papers were on the table.
[URGENT24]fileid_122	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_122.flac	libritts	19.076	24000	I address him in Italian, and he answers very wittily, but his way of speaking makes me smile, and I tell him why.
[URGENT24]fileid_123	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_123.flac	libritts	9.284	24000	Martelli composed a satire against Maffei, in which he designated him by the anagram of Femia.
[URGENT24]fileid_124	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_124.flac	libritts	4.856	24000	For their mere occurrence, by itself, would not suggest any connection with anything that had happened before.
[URGENT24]fileid_125	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_125.flac	libritts	1.170	24000	If we had retained the "subject" or "act" in knowledge, the whole problem of memory would have been comparatively simple.
[URGENT24]fileid_126	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_126.flac	libritts	12.970	24000	Sensation, we decided, is not a form of knowledge.
[URGENT24]fileid_127	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_127.flac	libritts	-2.635	24000	Nevertheless, in spite of the risk of error, precision is the goal at which we must aim.
[URGENT24]fileid_128	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_128.flac	vctk	1.036	48000	We have the experience, the courses, and an abundance of confidence.
[URGENT24]fileid_129	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_129.flac	libritts	5.064	24000	So, Uncas, you had better take the lead, while I will put on the skin again, and trust to cunning for want of speed."
[URGENT24]fileid_130	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_130.flac	libritts	7.952	24000	See, the heel has hardly touched the ground; and there the dark hair has made a little jump, from root to root.
[URGENT24]fileid_131	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_131.flac	libritts	10.382	24000	I saw one of the birds fanning himself in the air, just beyond the dead oak-another sign that we are approaching an encampment."
[URGENT24]fileid_132	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_132.flac	libritts	16.011	24000	That Providence is partial in its gifts, for its own wise reasons, the best and most contented of us must allow."
[URGENT24]fileid_133	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_133.flac	libritts	7.965	24000	The whole party now proceeded, following the course of the rill, keeping anxious eyes on the regular impressions.
[URGENT24]fileid_134	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_134.flac	libritts	2.094	24000	The impressions of footsteps were numerous, but they all appeared like those of men who had wandered about the spot, without any design to quit it.
[URGENT24]fileid_135	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_135.flac	libritts	2.929	24000	She meanwhile passed her life with her parents in the strictest retirement, never letting herself be seen, but shunning every eye lest it should read her misfortune in her face.
[URGENT24]fileid_136	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_136.flac	libritts	5.034	24000	The lady soon appeared, presenting a most charming spectacle of perfect beauty, set off by the most appropriate adornments.
[URGENT24]fileid_137	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_137.flac	libritts	4.051	24000	The master and mistress begged them not to cry, or raise their voices in lamentation; for it would do the little patient no good.
[URGENT24]fileid_138	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_138.flac	libritts	-0.221	24000	On seeing his wife all in tears, and Leocadia fainting, he eagerly inquired the cause of so startling a spectacle.
[URGENT24]fileid_139	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_139.flac	libritts	3.717	24000	She succeeded in opening the window; and the moonlight shone in so brightly, that she could distinguish the colour of some damask hangings in the room.
[URGENT24]fileid_140	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_140.flac	libritts	5.376	24000	Rodolfo meanwhile having returned home, and having missed the crucifix, guessed who had taken it, but gave himself no concern about it.
[URGENT24]fileid_141	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_141.flac	libritts	5.586	24000	Among other things on which she cast her eyes was a small crucifix of solid silver, standing on a cabinet near the window.
[URGENT24]fileid_142	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_142.flac	libritts	7.797	24000	Heaven knows how she managed to keep it whole, through all our wanderings, or in what baskets and bundles and theatre trunks it hasn't been stowed away.
[URGENT24]fileid_143	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_143.flac	libritts	16.468	24000	Hilda sat down on the couch and said seriously: "I've a neat little sum in the bank, too, now, and I own a mite of a hut in Galway.
[URGENT24]fileid_144	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_144.flac	libritts	17.443	24000	On Sunday afternoon Alexander remembered Miss Burgoyne's invitation and called at her apartment.
[URGENT24]fileid_145	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_145.flac	vctk	5.446	48000	Her condition was yesterday described as critical, but stable.
[URGENT24]fileid_146	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_146.flac	libritts	-3.664	24000	Besides, a scolding would have made them unhappy, and this did not make them unhappy at all; it amused and entertained them.
[URGENT24]fileid_147	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_147.flac	libritts	17.311	24000	Nothing more was necessary except to shake up the mixture in order to facilitate the process of solution, and the medicine was ready.
[URGENT24]fileid_148	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_148.flac	libritts	-0.946	24000	Then, turning to Jane, she asked, in a somewhat altered tone, "Has she been a good girl, Jane?"
